Type,Air Temperature [°C],Process Temperature [°C],Rotational Speed [rpm],Torque [Nm],Tool Wear [min],Failure Type,DateTime,Failure Type Prediction,RUL_Power Failure,RUL_Tool Wear Failure,RUL_Overstrain Failure,RUL_Heat Dissipation Failure
L,25.850000000000023,36.450000000000045,1626.0,33.3,50.0,No Failure,2022-01-14 02:28:00,No Failure,4,514,72,10
M,28.150000000000034,37.75,1494.0,38.5,33.0,No Failure,2022-01-09 22:28:00,No Failure,2,512,70,8
M,26.950000000000045,36.450000000000045,2329.0,14.6,95.0,No Failure,2022-01-04 09:44:00,Power Failure,10,510,68,6
L,28.25,38.450000000000045,1384.0,48.7,24.0,No Failure,2022-01-11 02:10:00,No Failure,8,508,66,4
L,26.05000000000001,36.150000000000034,2057.0,18.0,168.0,No Failure,2022-01-03 04:30:00,No Failure,6,506,64,2
L,29.55000000000001,37.75,1317.0,49.0,187.0,Heat Dissipation Failure,2022-01-06 22:50:00,Heat Dissipation Failure,4,504,62,96
L,25.150000000000034,35.950000000000045,1566.0,35.7,156.0,No Failure,2022-01-13 14:36:00,No Failure,2,502,60,94
L,30.25,39.75,1290.0,70.0,139.0,Power Failure,2022-01-08 22:12:00,Power Failure,116,500,58,92
L,28.25,37.150000000000034,1671.0,35.0,209.0,No Failure,2022-01-04 23:00:00,No Failure,114,498,56,90
L,30.05000000000001,38.85000000000002,1555.0,34.2,185.0,No Failure,2022-01-06 05:36:00,No Failure,112,496,54,88
M,28.450000000000045,37.25,1312.0,45.2,73.0,No Failure,2022-01-05 02:56:00,No Failure,110,494,52,86
H,28.350000000000023,39.25,1679.0,27.5,59.0,No Failure,2022-01-11 16:54:00,No Failure,108,492,50,84
L,26.55000000000001,36.85000000000002,1565.0,35.1,152.0,No Failure,2022-01-01 01:46:00,No Failure,106,490,48,82
L,28.450000000000045,39.75,1425.0,44.9,224.0,No Failure,2022-01-12 03:34:00,No Failure,104,488,46,80
H,25.350000000000023,36.25,1587.0,36.1,98.0,No Failure,2022-01-01 12:18:00,No Failure,102,486,44,78
H,25.55000000000001,36.25,1418.0,51.9,77.0,No Failure,2022-01-14 00:20:00,No Failure,100,484,42,76
L,24.150000000000034,35.150000000000034,1398.0,52.7,31.0,No Failure,2022-01-02 09:58:00,No Failure,98,482,40,74
M,28.25,37.650000000000034,1435.0,43.6,203.0,No Failure,2022-01-09 19:14:00,No Failure,96,480,38,72
H,31.650000000000034,41.05000000000001,1506.0,46.9,154.0,No Failure,2022-01-08 08:14:00,No Failure,94,478,36,70
L,27.25,37.150000000000034,1391.0,46.6,185.0,No Failure,2022-01-04 13:56:00,No Failure,92,476,34,68
L,28.850000000000023,37.55000000000001,1491.0,42.9,165.0,No Failure,2022-01-05 12:30:00,No Failure,90,474,32,66
L,27.450000000000045,36.85000000000002,1378.0,51.9,162.0,No Failure,2022-01-04 19:22:00,No Failure,88,472,30,64
L,28.55000000000001,37.35000000000002,1467.0,44.3,55.0,No Failure,2022-01-05 02:40:00,No Failure,86,470,28,62
H,26.850000000000023,37.85000000000002,1458.0,44.9,221.0,No Failure,2022-01-14 10:02:00,No Failure,84,468,26,60
L,24.850000000000023,35.75,1493.0,46.1,173.0,No Failure,2022-01-13 12:00:00,No Failure,82,466,24,58
M,29.350000000000023,38.55000000000001,1871.0,21.3,152.0,No Failure,2022-01-10 02:44:00,No Failure,80,464,22,56
M,30.850000000000023,38.950000000000045,1526.0,37.3,176.0,No Failure,2022-01-07 10:04:00,No Failure,78,462,20,54
M,26.55000000000001,37.05000000000001,1423.0,48.9,187.0,No Failure,2022-01-14 18:02:00,No Failure,76,460,18,52
M,29.350000000000023,38.950000000000045,1402.0,40.0,94.0,No Failure,2022-01-09 03:30:00,No Failure,74,458,16,50
L,24.55000000000001,35.650000000000034,1453.0,46.0,33.0,No Failure,2022-01-02 01:50:00,No Failure,72,456,14,48
L,29.55000000000001,37.950000000000045,1500.0,39.6,56.0,No Failure,2022-01-06 18:06:00,No Failure,70,454,12,46
L,28.55000000000001,38.85000000000002,1403.0,48.3,70.0,No Failure,2022-01-09 08:52:00,No Failure,68,452,10,44
L,28.350000000000023,39.25,1709.0,32.3,64.0,No Failure,2022-01-11 16:56:00,No Failure,66,450,8,42
L,30.850000000000023,39.05000000000001,1601.0,32.9,69.0,No Failure,2022-01-07 08:42:00,No Failure,64,448,6,40
L,25.75,35.450000000000045,1344.0,54.3,151.0,No Failure,2022-01-03 15:10:00,No Failure,62,446,4,38
H,25.950000000000045,36.950000000000045,1425.0,44.5,49.0,No Failure,2022-01-03 02:54:00,No Failure,60,444,2,36
L,31.850000000000023,40.75,1313.0,53.9,202.0,No Failure,2022-01-08 00:44:00,Overstrain Failure,58,442,274,34
M,25.75,36.950000000000045,1338.0,49.6,56.0,No Failure,2022-01-13 07:40:00,No Failure,56,440,272,32
L,28.55000000000001,38.05000000000001,1348.0,54.8,50.0,No Failure,2022-01-09 22:44:00,No Failure,54,438,270,30
M,26.05000000000001,37.05000000000001,1524.0,34.6,161.0,No Failure,2022-01-03 01:32:00,No Failure,52,436,268,28
L,26.850000000000023,37.85000000000002,1484.0,39.6,212.0,No Failure,2022-01-14 09:54:00,No Failure,50,434,266,26
